"Ticker","Period","Date","Open","High","Low","Close","Volume"
"NVDA","Month","Aug 4, 2023",464.5950012207031,469.,433.8699951171875,446.79998779296875,145716032
"NVDA","Month","Jul 31, 2023",425.1700134277344,480.8800048828125,413.4599914550781,467.2900085449219,870901174
"NVDA","Month","Jun 30, 2023",384.8900146484375,439.8999938964844,373.55999755859375,423.0199890136719,1052802408
"NVDA","Month","May 31, 2023",278.3999938964844,419.3800048828125,272.3999938964844,378.3399963378906,1169781866
"NVDA","Month","Apr 28, 2023",275.0899963378906,281.1000061035156,262.20001220703125,277.489990234375,743644973
"NVDA","Month","Mar 31, 2023",271.3999938964844,278.3429870605469,271.04998779296875,277.7699890136719,43393277
"NVDA","Month","Feb 28, 2023",233.72,238.25,232.06,232.16,45596280
"NVDA","Month","Jan 31, 2023",191.7,196.87,189.5,195.37,49801658
"NVDA","Month","Dec 30, 2022",169.99,187.9,138.84,146.14,894615121
"NVDA","Month","Nov 30, 2022",138.11,169.98,129.56,169.23,1060101416
"NVDA","Month","Oct 31, 2022",123.47,138.5,108.13,134.97,1255185787
"NVDA","Month","Sep 30, 2022",142.09,145.47,119.46,121.39,1313109682
"NVDA","Month","Aug 31, 2022",181.82,192.74,149.59,150.94,1207157072
"NVDA","Month","Jul 29, 2022",148.99,182.44,140.55,181.63,1056635538
"NVDA","Month","Jun 30, 2022",187.24,196.19,148.62,151.59,1055676405
"NVDA","Month","May 31, 2022",185.4,204.,155.67,186.72,1383301858
"NVDA","Month","Apr 29, 2022",273.75,275.58,182.9,185.47,1111497682
"NVDA","Month","Mar 31, 2022",242.91,289.46,206.5,272.86,1164519427
"NVDA","Month","Feb 28, 2022",251.04,269.25,208.9,243.85,1064615187
"NVDA","Month","Jan 31, 2022",298.15,307.11,208.88,244.86,1068458188
"NVDA","Month","Dec 31, 2021",332.2,332.89,271.45,294.11,1106280561
"NVDA","Month","Nov 30, 2021",256.49,346.47,252.27,326.76,1081117060
"NVDA","Month","Oct 29, 2021",207.5,257.09,195.55,255.67,497107602
"NVDA","Month","Sep 30, 2021",224.85,229.86,204.67,207.16,499956172
"NVDA","Month","Aug 31, 2021",197.,230.43,187.62,223.85,641687216
"NVDA","Month","Jul 30, 2021",201.25,208.75,178.65,194.99,782370202
"NVDA","Month","Jun 30, 2021",162.7,201.62,159.03,200.02,1027328100
"NVDA","Month","May 28, 2021",151.25,162.77,134.59,162.45,705469976
"NVDA","Month","Apr 30, 2021",135.72,162.14,135.11,150.1,671906564
"NVDA","Month","Mar 31, 2021",138.75,139.25,115.67,133.48,764947376
"NVDA","Month","Feb 26, 2021",130.53,153.73,129.03,137.15,668147800
"NVDA","Month","Jan 29, 2021",131.04,139.99,125.86,129.9,615541964
"NVDA","Month","Dec 31, 2020",134.92,137.31,127.63,130.55,512283188
"NVDA","Month","Nov 30, 2020",126.58,146.91,123.95,134.01,759609628
"NVDA","Month","Oct 30, 2020",137.58,143.49,123.,125.34,802372364
"NVDA","Month","Sep 30, 2020",134.8,147.27,117.04,135.3,1586047104
"NVDA","Month","Aug 31, 2020",107.32,135.75,107.15,133.74,967394204
"NVDA","Month","Jul 31, 2020",95.21,107.92,94.13,106.15,809528212
"NVDA","Month","Jun 30, 2020",88.33,96.43,86.58,94.98,972009632
"NVDA","Month","May 29, 2020",71.09,91.82,70.21,88.75,1255341088
"NVDA","Month","Apr 30, 2020",63.91,76.05,59.6,73.07,1128068716
"NVDA","Month","Mar 31, 2020",69.22,71.22,45.17,65.9,1577753540
"NVDA","Month","Feb 28, 2020",58.92,79.08,58.86,67.52,1185519452
"NVDA","Month","Jan 31, 2020",59.69,64.88,57.82,59.11,613278788
"NVDA","Month","Dec 31, 2019",54.12,60.45,50.09,58.83,657315696
"NVDA","Month","Nov 29, 2019",49.9,55.35,49.65,54.19,733841848
"NVDA","Month","Oct 31, 2019",43.75,52.22,42.53,50.26,781081344
"NVDA","Month","Sep 30, 2019",41.15,47.1,40.81,43.52,640746992
"NVDA","Month","Aug 30, 2019",42.28,43.36,36.85,41.88,954773040
"NVDA","Month","Jul 31, 2019",43.14,44.72,38.75,42.18,841874580
"NVDA","Month","Jun 28, 2019",33.98,41.34,33.15,41.06,823333380
"NVDA","Month","May 31, 2019",45.78,46.22,33.85,33.87,1118075408
"NVDA","Month","Apr 30, 2019",45.81,48.37,43.33,45.25,944306424
"NVDA","Month","Mar 29, 2019",39.07,46.25,36.2,44.89,1206851240
"NVDA","Month","Feb 28, 2019",36.12,41.32,35.65,38.56,1144573960
"NVDA","Month","Jan 31, 2019",32.66,40.22,31.92,35.94,1687164428
"NVDA","Month","Dec 31, 2018",43.15,43.67,31.11,33.38,1245117892
"NVDA","Month","Nov 30, 2018",53.08,55.5,33.33,40.86,1616234340
"NVDA","Month","Oct 31, 2018",71.04,73.19,44.,52.71,1297797956
"NVDA","Month","Sep 28, 2018",70.04,71.31,64.67,70.25,634019592
"NVDA","Month","Aug 31, 2018",61.53,70.43,59.68,70.17,1091805684
"NVDA","Month","Jul 31, 2018",58.52,64.15,58.32,61.22,632326748
"NVDA","Month","Jun 29, 2018",63.5,67.3,58.75,59.22,878553992
"NVDA","Month","May 31, 2018",56.14,65.12,55.55,63.05,1197824452
"NVDA","Month","Apr 30, 2018",57.19,59.81,52.58,56.22,1114707884
"NVDA","Month","Mar 29, 2018",60.48,63.62,54.25,57.9,1411845052
"NVDA","Month","Feb 28, 2018",59.63,62.99,51.,60.5,1491553552
"NVDA","Month","Jan 31, 2018",48.94,62.32,48.62,61.45,1145621760
"NVDA","Month","Dec 29, 2017",49.83,50.08,45.15,48.38,1011221620
"NVDA","Month","Nov 30, 2017",52.34,54.67,47.81,50.18,1183090004
"NVDA","Month","Oct 31, 2017",45.2,51.97,44.25,51.7,1142265892
"NVDA","Month","Sep 29, 2017",42.49,47.8,40.68,44.69,1444866076
"NVDA","Month","Aug 31, 2017",40.53,43.64,38.23,42.36,1472820856
"NVDA","Month","Jul 31, 2017",36.26,42.48,34.65,40.63,1549101640
"NVDA","Month","Jun 30, 2017",36.25,42.12,35.53,36.14,2344552236
"NVDA","Month","May 31, 2017",26.18,36.75,25.58,36.09,1921083064
"NVDA","Month","Apr 28, 2017",27.24,27.41,23.87,26.08,957256960
"NVDA","Month","Mar 31, 2017",25.95,27.5,23.79,27.23,1428972476
